A2M,Endoneurial
ABLIM1,
ACSBG1,
ADAMTS5,Epineurial
ADCY2,
ADGRB3,
ADGRV1,
AEBP1,Peripheral nerve associated fibroblast 
AHCYL1,
AHCYL2,
ALPL,Endoneurial
AMD1,Peripheral nerve associated fibroblast 
ANGPT1,
ANTXR1,
APOD,Peripheral nerve associated fibroblast 
APOD,nmSchwann
APOE,mySchwann
ARHGEF26,
ASB3,
ASPH,
BCAN,
Bgn,Mesenchymal neural crest
BMP4,Epineurial
BMP7,Endoneurial
BMPR1B,
C3,Peripheral nerve associated fibroblast 
CACHD1,
CACNA2D3,
CACNB2,
CAMK2G,
CARMIL1,
CD38,
CHPT1,
CLDN10,
CLEC11A,Epineurial
CLEC3B,Peripheral nerve associated fibroblast 
CLU,
CNTFR,
CNTN1,
COL11A1,Endoneurial
COL1A1,Peripheral nerve associated fibroblast 
COL26A1,Endoneurial
COL27A1,
COL28A1,Endoneurial
COL2A1,Peripheral nerve associated fibroblast 
COL3A1,Peripheral nerve associated fibroblast 
COL4A3,Perineurial
COL5A1,
COL5A3,
Cp,nmSchwann
CPE,
CRISPLD2,Epineurial
CSPG5,nmSchwann
CST3,
CTNND2,
DAPK1,
DCLK1,
DCLK2,
DDAH1,
DGKB,
DOK5,
DPP4,Epineurial
DPT,Epineurial
DRP2,mySchwann
DTNA,
EDNRB,
EFEMP1,
EFNA5,
EFR3B,
EPHB1,
ETV1,Endoneurial precursor 
ETV4,Endoneurial precursor 
F3,
Fabp7,Neural progenitor
FADS2,
FAM189A2,
FARP1,
FBLN7,Epineurial
FGD6,
FGFR3,
FGL2,epineurial
FMOD,Epineurial
FN1,Peripheral nerve associated fibroblast 
FOS,mySchwann
GABRA2,
GALNT16,
GALNT18,
GLI3,
GLIS3,
GPC6,
GPM6A,
GRAMD1C,
GSN,Peripheral nerve associated fibroblast 
HES1,Neural progenitor
ITGA6,Perineurial
ITGB4,
JAKMIP1,
JUNB,mySchwann
KANK1,
LAMA1,
Lgals3,Mesenchymal neural crest
LGI4,
LIFR,
LMNTD1,
LMO7,Perineurial
LRIG1,
LSAMP,
LTBP1,
MAOB,
MAPK4,
MBP,mySchwann
MCC,
MEOX1,Endoneurial precursor 
MFGE8,
MFHAS1,
Mgp,Mesenchymal neural crest
MOXD1,
MRAS,
MSI2,
MT3,
NAV2,
NCAM1,nmSchwann
NCMAP,mySchwann
NDRG2,
NEBL,
NES,Neural progenitor
NFIB,
NGFR,PNS neural crest-derived stem cells 
NHSL1,
NKAIN3,
NPAS3,
NRCAM,
NRXN1,
NT5E,Endoneurial
NTNG1,Perineurial
NTRK2,
NWD1,
OLFM2,
OPHN1,
OSR2,Endoneurial precursor 
PACRG,
PALM,
PAMR1,
PARD3,
PCSK5,
PDGFRA,mySchwann
PHKA1,
PI16,Peripheral nerve associated fibroblast 
PLCB1,
PLCE1,
PLEKHA7,
PLIN2,Neural progenitor
PPP1R3C,
PRDM16,
PREX2,
PRKCQ,
PRKG1,
PRRX1,Peripheral nerve associated fibroblast 
PRX,mySchwann
PSD2,
PTPN13,
PTPRG,
PTPRZ1,
RERG,
REV3L,
RGCC,
RORA,
RORB,
SASH1,
SDC2,
SFXN5,
SGIP1,
SLC1A2,
SLC1A3,
SLC22A3,Epineurial
SLC4A4,
SLC7A11,
Snai2,PNS neural crest-derived stem cells 
SNTB1,
SORBS1,
SORBS1,epineurial
SORBS1,Epineurial
SORCS2,
SOX10,PNS neural crest-derived stem cells 
SOX5,Endoneurial precursor 
SOX6,Endoneurial precursor 
SOX8,Endoneurial precursor 
SOX9,Endoneurial precursor 
SPARCL1,
SPIRE1,
SPON1,
STON2,
STXBP6,epineurial
TEAD1,
TENM2,Peripheral nerve associated fibroblast 
TGFB2,
THY1,Endoneurial
TIAM1,Peripheral nerve associated fibroblast 
TIMP3,
TLE1,
TNC,
TNIK,
TPCN1,
TPD52L1,
TRPM3,
TRPS1,
USP54,Peripheral nerve associated fibroblast 
USP54,Endoneurial
VAT1L,
VIM,"Neural progenitor, mesenchymal"
WNK2,
WWC1,
ZBTB7C,
ZFHX4,
ZHX3,
ZNRF3
