A2M,Endoneurial
ABLIM1,
ADAMTS5,Epineurial
AEBP1,Peripheral nerve associated fibroblast 
ANGPT1,
ANTXR1,
APOD,Peripheral nerve associated fibroblast 
APOE,mySchwann
BGN,Mesenchymal neural crest
BMP4,Epineurial
BMP7,Endoneurial
C3,Peripheral nerve associated fibroblast 
CARMIL1,
CHPT1,
CLEC3B,Peripheral nerve associated fibroblast 
CLU,
COL11A1,Endoneurial
COL4A3,Perineurial
COL5A1,
CPE,
CRISPLD2,Epineurial
CTNND2,
DAPK1,
DPT,Epineurial
EFEMP1,
ETV1,Endoneurial precursor 
F3,
Fabp7,Neural progenitor
FBLN7,Epineurial
FMOD,Epineurial
FN1,Peripheral nerve associated fibroblast 
FOS,mySchwann
GSN,Peripheral nerve associated fibroblast 
,
ITGA6,Perineurial
Lgals3,Mesenchymal neural crest
LMO7,Perineurial
LTBP1,
MBP,mySchwann
MFGE8,
NCAM1,nmSchwann
NCMAP,mySchwann
NDRG2,
NEBL,
NES,Neural progenitor
NGFR,PNS neural crest-derived stem cells 
NHSL1,
NTRK2,
OSR2,Endoneurial precursor 
PALM,
PI16,Peripheral nerve associated fibroblast 
PRX,mySchwann
PTPN13,
REV3L,
RORA,
SDC2,
SORBS1,epineurial
SORBS1,Epineurial
SOX5,Endoneurial precursor 
SOX6,Endoneurial precursor 
SOX8,Endoneurial precursor 
SOX9,Endoneurial precursor 
STXBP6,epineurial
TGFB2,
THY1,Endoneurial
TIAM1,Peripheral nerve associated fibroblast 
TPCN1,
USP54,Peripheral nerve associated fibroblast 
USP54,Endoneurial
VAT1L,
WWC1,
ZFHX4,
ZNRF3,
