Gene,GFPneg_Rep1,GFPpos_Rep1,GFPneg_Rep2,GFPpos_Rep2
5S_rRNA,0,0,0,0
A1CF,3,0,30,0
A2M,41171,50746,2705,19949
A2ML1,6,23,4,20
A3GALT2,0,0,3,0
A4GALT,31,121,81,77
A4GNT,2,5,32,13
AAAS,160,312,355,650
AACS,38,181,118,187
AADAC,14,51,16,130
AADACL2,2,0,1,0
AADACL3,0,0,3,0
AADACL4,0,0,6,0
AADAT,3,0,0,0
AAGAB,267,1089,334,1805
AAK1,123,786,197,624
AAMP,309,1562,644,785
AANAT,2,0,16,2
AAR2,363,1602,432,1699
AARD,0,3,14,1
AARS1,846,3633,929,3047
AARS2,191,726,303,385
AASDH,242,758,392,632
AASDHPPT,152,868,272,1304
AASS,110,763,65,419
AATF,171,535,246,290
AATK,3,18,7,4
ABAT,35,92,41,52
ABCA1,453,2463,482,1431
ABCA12,5,0,19,0
ABCA3,97,550,110,465
ABCA4,13,117,9,94
ABCA5,70,348,56,224
ABCA6,125,1043,125,951
ABCA7,106,244,318,335
ABCA8,185,3797,40,2360
ABCA9,593,4186,275,2536
ABCB10,37,200,65,188
ABCB11,9,0,41,0
ABCB5,9,0,9,0
ABCB6,38,526,32,366
ABCB7,323,551,320,607
ABCB8,108,630,227,415
ABCB9,26,22,25,6
ABCC1,277,1212,415,729
ABCC10,230,1408,422,839
ABCC11,0,0,16,0
ABCC12,0,0,8,0
ABCC2,9,9,29,0
ABCC3,72,165,111,120
ABCC5,381,2770,265,1787
ABCC8,7,8,21,9
ABCC9,169,122,78,123
ABCD1,30,150,109,55
ABCD2,8,8,26,0
ABCD3,148,739,168,905
ABCD4,215,804,101,352
ABCE1,427,1534,526,1355
ABCF1,297,1287,364,1314
ABCF3,895,4186,1038,3989
ABCG1,160,81,113,5
ABCG2,113,816,79,403
ABCG4,164,608,347,518
ABCG5,12,20,3,27
ABCG8,22,0,42,0
ABHD1,15,17,12,31
ABHD10,54,340,75,643
ABHD11,251,1296,347,2949
ABHD12,321,964,243,523
ABHD12B,1,9,0,1
ABHD13,273,967,217,490
ABHD14A,122,1273,122,1043
ABHD15,241,1250,319,799
ABHD16A,391,2125,475,2068
ABHD16B,0,0,10,0
ABHD17A,592,2615,598,981
ABHD17B,183,521,123,253
ABHD17C,40,121,52,68
ABHD18,60,176,88,258
ABHD2,255,271,349,201
ABHD3,189,712,214,1079
ABHD4,140,761,157,999
ABHD5,188,250,278,186
ABHD6,128,102,317,274
ABHD8,34,594,41,213
ABI1,1167,2978,1793,4040
ABI2,161,1317,56,1081
ABI3BP,1339,5607,563,4138
ABL1,213,2321,166,1451
ABL2,92,563,150,372
ABLIM1,781,6592,1123,6153
ABLIM2,80,817,48,294
ABLIM3,288,700,149,242
ABR,311,2348,558,1492
ABRA,3,13,14,0
ABRACL,33,5,93,54
ABRAXAS1,52,300,82,338
ABRAXAS2,185,572,279,796
ABT1,150,584,251,497
ABTB1,272,1413,362,1289
ABTB2,136,690,65,335
ACAA1,594,1657,669,2254
ACAA2,209,1419,312,2878
ACACA,228,2125,185,1042
ACAD10,94,577,198,476
ACAD11,160,671,121,715
ACAD9,112,689,169,853
ACADL,278,1933,239,3259
ACADM,414,1306,537,2547
ACADS,693,3219,1080,3181
ACADSB,231,803,223,1338
ACADVL,878,2955,1394,3870
ACAN,1100,366,380,148
ACAP1,683,152,1507,139
ACAP2,565,2241,785,1522
ACAP3,46,1476,76,763
ACAT1,320,1455,509,2989
ACAT2,401,1864,474,1836
ACBD3,130,727,146,678
ACBD4,46,423,56,412
ACBD5,216,1605,180,1775
ACBD6,172,940,258,1543
ACBD7,8,2,17,4
ACCS,293,3234,147,2652
ACCSL,90,634,164,1069
ACD,183,555,213,624
ACE,122,141,89,95
ACE2,1,14,17,2
ACER1,6,10,30,0
ACER2,4,58,6,34
ACER3,95,286,129,298
ACHE,61,24,65,12
ACIN1,1104,4131,1308,2945
ACKR1,236,81,72,134
ACKR2,115,84,124,41
ACKR3,467,1025,230,335
ACKR4,49,150,26,230
ACLY,734,2251,1203,1240
ACMSD,0,0,1,1
ACO1,238,1361,258,548
ACO2,1454,5145,2035,4837
ACOD1,64,13,62,0
ACOT11,42,195,75,241
ACOT12,1,0,5,0
ACOT13,267,1078,479,1662
ACOT4,147,987,95,608
ACOT6,20,139,24,135
ACOT7,115,67,272,25
ACOT8,107,490,217,886
ACOT9,381,1281,363,1895
ACOX1,813,3696,689,4851
ACOX2,77,434,26,944
ACOX3,185,1170,146,324
ACOXL,6,0,11,1
ACP1,482,1898,797,4974
ACP2,276,1554,229,1649
ACP3,10,0,67,3
ACP4,55,283,92,622
ACP5,58,72,290,13
ACP6,179,891,230,1231
ACR,0,0,2,0
ACRBP,194,968,205,1562
ACRV1,0,0,2,0
ACSBG1,117,260,122,463
ACSBG2,5,0,13,0
ACSF2,880,5182,1147,3769
ACSF3,89,536,241,243
ACSL1,1801,599,949,356
ACSL3,282,2089,184,1309
ACSL4,3329,2014,3363,1113
ACSL5,758,1117,1239,1129
ACSM3,1,1,1,1
ACSM4,6,0,3,0
ACSM5,5,0,42,2
ACSS1,350,1420,518,573
ACSS2,112,397,269,445
ACSS3,266,1411,109,954
ACTA2,10412,16574,1709,34416
ACTB,16700,26089,29258,41537
ACTBL2,2,0,2,0
ACTC1,3,7,0,1
ACTG1,23510,89142,28530,46563
ACTG2,593,347,90,269
ACTL10,0,11,11,0
ACTL6A,273,753,313,1133
ACTL7A,3,0,17,0
ACTL7B,0,0,6,0
ACTL8,1,0,3,0
ACTL9,4,0,3,0
ACTN1,1407,9378,1350,3848
ACTN2,25,11,59,0
ACTN3,109,670,61,403
ACTR10,636,2241,578,4205
ACTR1A,961,4668,1317,2830
ACTR1B,236,1095,349,977
ACTR2,2110,4103,4101,3936
ACTR3,2921,3410,5356,4264
ACTR5,98,457,138,322
ACTR6,134,490,196,1315
ACTR8,473,2166,556,3768
ACTRT1,0,0,0,0
ACTRT2,1,0,30,0
ACTRT3,6,11,26,14
ACVR1,140,1002,48,1059
ACVR1B,48,242,106,183
ACVR1C,2,0,5,0
ACVR2A,142,1926,63,1754
ACVR2B,18,28,45,22
ACVRL1,134,794,219,637
ADA,169,745,124,713
ADA2,563,220,1243,314
ADAD1,0,0,2,0
ADAD2,0,0,5,0
ADAL,59,237,85,447
ADAM10,601,1184,886,1032
ADAM11,9,8,37,15
ADAM12,14,1267,67,1142
ADAM15,753,1233,627,566
ADAM17,546,1208,399,909
ADAM18,0,4,0,12
ADAM19,926,1977,2052,1427
ADAM2,0,0,0,0
ADAM20,1,0,7,0
ADAM21,1,0,2,0
ADAM22,26,196,75,177
ADAM23,11,217,20,388
ADAM28,206,53,268,126
ADAM30,7,0,6,0
ADAM32,0,8,0,0
ADAM33,204,5786,87,2898
ADAM3A,0,11,0,66
ADAM7,10,3,34,3
ADAM8,436,112,860,72
ADAM9,762,1545,330,1070
ADAMDEC1,3,3,51,2
ADAMTS1,759,2293,142,1064
ADAMTS10,134,732,69,324
ADAMTS12,381,1409,165,1537
ADAMTS13,4,9,34,1
ADAMTS14,51,456,36,214
ADAMTS15,240,1190,125,658
ADAMTS16,14,39,15,3
ADAMTS17,108,3156,26,2732
ADAMTS18,21,7,43,1
ADAMTS19,42,62,13,62
ADAMTS2,404,14960,146,10729
ADAMTS20,49,149,87,43
ADAMTS3,122,571,46,375
ADAMTS4,90,144,34,110
ADAMTS5,118,929,102,640
ADAMTS6,220,1130,170,667
ADAMTS7,175,1484,18,677
ADAMTS8,121,1851,28,1135
ADAMTS9,163,1293,37,688
ADAMTSL1,161,228,67,228
ADAMTSL2,135,646,62,237
ADAMTSL3,511,7152,182,3951
ADAMTSL4,534,1734,671,989
ADAMTSL5,154,3513,95,2566
ADAP1,55,219,83,117
ADAP2,191,178,201,207
ADAR,605,2317,338,419
ADARB1,89,971,40,363
ADARB2,4,6,19,0
ADAT1,40,180,107,324
ADAT2,46,155,108,294
ADAT3,18,107,118,22
ADCK1,14,73,28,62
ADCK2,54,257,65,263
ADCK5,293,1232,490,660
ADCY1,5,0,37,4
ADCY10,6,12,10,5
ADCY2,21,222,16,95
ADCY3,97,850,193,861
ADCY4,322,336,301,421
ADCY5,62,390,58,257
ADCY6,72,407,18,175
ADCY7,1147,9832,1388,6305
ADCY8,41,201,19,55
ADCY9,175,1105,143,714
ADCYAP1,5,0,16,1
ADCYAP1R1,205,2590,75,1689
ADD1,319,1758,392,1341
ADD2,3,0,4,0
ADD3,1155,7677,1942,7662
ADGRA1,2,0,58,0
ADGRA2,184,3854,133,3782
ADGRA3,111,416,49,304
ADGRB1,1,16,16,0
ADGRB2,45,648,57,395
ADGRB3,7,12,4,1
ADGRD1,693,3999,154,2862
ADGRD2,0,0,0,0
ADGRE3,105,47,714,181
ADGRE5,4357,4175,8894,4881
ADGRF1,0,4,3,0
ADGRF3,9,45,29,11
ADGRF4,25,6,58,7
ADGRF5,191,124,75,52
ADGRG1,731,285,2004,287
ADGRG2,12,6,16,11
ADGRG3,368,97,248,13
ADGRG5,220,69,755,80
ADGRG6,310,117,104,133
ADGRG7,5,1,9,0
ADGRL1,49,504,75,316
ADGRL2,521,2120,317,1854
ADGRL3,33,171,18,162
ADGRL4,128,43,76,79
ADGRV1,37,59,48,135
ADH4,8,0,24,0
ADH5,640,2392,793,4990
ADI1,434,3029,301,1235
ADIPOQ,13,2,30,0
ADIPOR2,124,560,156,430
ADIRF,129,327,50,159
ADK,188,361,265,632
ADM,518,3731,113,1276
ADNP,380,1423,400,1283
ADNP2,96,430,99,590
ADO,71,415,23,134
ADORA1,9,61,28,139
ADORA2A,277,79,141,26
ADORA2B,82,634,89,533
ADORA3,257,53,266,30
ADPGK,367,1713,501,774
ADPRH,137,467,134,392
ADPRM,78,482,105,722
ADPRS,263,1122,194,461
ADRA1A,612,764,93,332
ADRA1B,1,11,12,0
ADRA1D,2,0,3,0
ADRA2A,14,61,3,27
ADRA2B,14,6,41,2
ADRA2C,1,0,13,0
ADRB1,4,5,0,0
ADRB2,107,120,85,10
ADRM1,176,982,262,278
ADSL,238,1079,421,1323
ADSS2,189,448,301,321
ADTRP,6,0,17,0
AEBP1,310,3549,122,2627
AEBP2,183,812,308,644
AEN,228,919,267,574
AFAP1,217,2240,77,1079
AFAP1L1,61,167,76,121
AFDN,185,691,73,444
AFF1,264,784,224,434
AFF2,19,9,19,83
AFF4,908,3092,437,1306
AFG1L,50,133,104,220
AFM,0,0,2,0
AFMID,134,353,491,313
AFP,0,0,0,0
AFTPH,425,723,610,735
AGA,341,1780,242,2915
AGAP1,25,141,40,184
AGAP2,33,8,102,4
AGAP3,95,906,59,399
AGBL2,87,373,80,504
AGBL5,96,193,126,283
AGER,731,2283,127,262
AGFG1,97,196,123,180
AGFG2,129,374,354,206
AGK,189,776,329,973
AGL,134,592,197,650
AGMAT,0,0,18,0
AGMO,38,4,62,0
AGO1,379,1884,534,1402
AGO2,220,818,285,622
AGO4,182,600,320,355
AGPAT1,51,389,70,230
AGPAT3,62,260,91,263
AGPAT4,113,640,220,512
AGPAT5,141,571,162,531
AGPS,193,598,244,685
AGR2,16,1,51,76
AGRN,782,5071,138,598
AGRP,0,1,3,0
AGT,11738,45377,279,33649
AGTPBP1,63,158,105,140
AGTR1,757,2255,113,2086
AGTR2,0,0,0,0
AGXT,0,3,0,0
AGXT2,7,9,27,0
AHCTF1,603,1952,630,1156
AHCY,360,532,677,520
