"Gene","baseMean","log2FoldChange","stat","pvalue","padj","Pig1_GFP_Neg","Pig2_GFP_Neg","Pig1_GFP_Pos","Pig2_GFP_Pos","GFPneg_Rep1_Cnt","GFPpos_Rep1_Cnt","GFPneg_Rep2_Cnt","GFPpos_Rep2_Cnt"
"LGR5",954.849202823262,7.03904211903868,11.1731595225087,5.51824117140606e-29,6.67100175211279e-25,19.6764550020428,1850.86807706553,9.89377363435717,1938.95850559111,10,3218,7,3073
"CRABP1",25950.4783980199,6.74219606621025,11.0171320631919,3.15966078682949e-28,2.54647595013211e-24,623.743623564758,25480.7823337966,337.801699801623,77359.5859349165,317,44302,239,122605
"ENSSSCG00000045323",1710.18335844571,6.34864440074188,11.4407020760565,2.61758665582643e-30,6.32880101645714e-26,37.3852645038814,2635.38767219213,45.228679471347,4122.73181761547,19,4582,32,6534
"HMCN2",1861.24307252253,5.67024278233866,10.0760339682176,7.05151686749489e-24,4.26228937055728e-20,84.6087565087842,4785.33946587484,59.362641806143,2515.66142590035,43,8320,42,3987
"OSR2",1972.86314818866,5.63923724553927,9.29588691879135,1.45983952685347e-20,5.88266668004387e-17,120.026375512461,4139.43367018044,36.7483020704695,3595.24424499126,61,7197,26,5698
"PTN",2580.23457931638,5.02015536012859,6.77596344508815,1.23579924698978e-11,2.0749412634527e-09,267.599788027783,2789.53081844868,42.4018870043879,7221.40582378467,136,4850,30,11445
"GRIK1",233.91881470483,4.97917949142567,7.09359340311035,1.30673688325474e-12,2.77142845292395e-10,9.83822750102142,388.808831602331,18.3741510352347,518.654048680734,5,676,13,822
"SOSTDC1",2164.60314363609,4.91088077739224,6.64386013436345,3.05572560795386e-11,4.45068275597039e-09,236.117460024514,2056.2005517431,43.8152832378674,6322.27927953887,120,3575,31,10020
"ENSSSCG00000028695",611.37599271691,4.87125372428889,6.72437623116604,1.76346240863767e-11,2.90047579020691e-09,53.1264285055157,443.449125984315,28.2679246695919,1920.66049170822,27,771,20,3044
"RGS22",252.79433252548,4.86780612983328,7.1860332946545,6.67007852956934e-13,1.56571998726143e-10,19.6764550020428,403.187856439695,14.1339623347959,574.179056325386,10,701,10,910
"BMP7",289.228231533622,4.73997583239496,6.87828621482774,6.05768710704011e-12,1.10956635510618e-09,23.6117460024514,767.26476532176,18.3741510352347,347.662263775042,12,1334,13,551
"THSD7B",198.574973284978,4.68165899718265,6.19524297400425,5.81951858357749e-10,5.88721005496806e-08,7.87058200081713,502.115547320762,21.2009435021939,263.112820316139,4,873,15,417
"FREM1",653.940554112093,4.64813579791249,7.66002004135449,1.85904070800159e-14,8.98957724761251e-12,31.4823280032685,1559.26145336379,67.8430192070206,957.175415874298,16,2711,48,1517
"ENSSSCG00000042044",840.687666022347,4.61416996930788,7.4511638552718,9.25203660358913e-14,2.86789411540485e-11,84.6087565087842,954.192088207496,48.0554719383062,2275.8943474348,43,1659,34,3607
"SAL1",806.065100648419,4.55745267995032,7.69659654207981,1.39738231988241e-14,7.34476298480803e-12,94.4469840098056,1412.02023902918,38.1616983039491,1679.63148125075,48,2455,27,2662
"CRABP2",407.161215897846,4.49901361206627,6.14957192391821,7.76923491586172e-10,7.60504298768035e-08,21.6441005022471,331.867893246368,46.6420757048266,1228.49079413794,11,577,33,1947
"ST6GAL2",346.767214027913,4.48944006545044,6.6702480989366,2.55371345230073e-11,3.85898024060794e-09,15.7411640016343,486.586200496408,42.4018870043879,842.33960460922,8,846,30,1335
"RGS4",2665.41175080054,4.46341504671652,7.95362127630478,1.81137290990938e-15,1.45984580719297e-12,326.629153033911,4523.64121383481,137.099434647521,5674.27720168593,166,7865,97,8993
"GRIA1",987.876770297588,4.45929052708191,8.60233589467562,7.81097939931812e-18,2.44792621870937e-14,88.5440475091928,1813.48261248839,83.3903777752961,1966.09004341748,45,3153,59,3116
"FBLN1",18915.3474104444,4.39599735999838,7.40044204689341,1.35731896979603e-13,3.90681643472958e-11,2626.80674277272,35600.7400143336,805.635853083369,36628.2070315879,1335,61897,570,58051
"DIRAS3",189.464807951944,4.37457043493261,5.2477037205593,1.54006708055023e-07,7.19514308480296e-06,25.5793915026557,143.790248373643,9.89377363435717,578.59581829712,13,250,7,917
"ENSSSCG00000016343",172.037122234612,4.3715900073234,5.75351181591318,8.74083361329461e-09,6.56322593485209e-07,25.5793915026557,312.887580461047,7.06698116739797,342.614535807346,13,544,5,543
"SLC24A2",484.938682589288,4.36459222290732,7.30305958520963,2.81296532143149e-13,7.47383247709567e-11,29.5146825030643,836.284084541109,59.362641806143,1014.59332150684,15,1454,42,1608
"SFRP1",1824.87894151296,4.36360467776576,7.50904089547995,5.95621183737564e-14,2.07690250084011e-11,220.37629602288,2247.72916257679,118.725283612286,4712.6850238399,112,3908,84,7469
"FZD2",173.042295977141,4.34602311818134,5.68599478275989,1.30053365276474e-08,9.11429062508578e-07,21.6441005022471,456.677828834691,11.3071698678368,202.54008470379,11,794,8,321
"MATN2",19765.7622072782,4.3153004028759,6.8221402960822,8.96940041156478e-12,1.57146495036821e-09,3053.78581631705,37041.5183030375,729.312456475471,38238.4322532828,1552,64402,516,60603
"ENSSSCG00000007336",728.091793087032,4.29982156223369,6.55044688329539,5.73651584022117e-11,7.79199325757682e-09,90.511693009397,678.689972323596,50.8822644052654,2092.28324260987,46,1180,36,3316
"HEYL",650.232191340578,4.29553035587702,7.27285093675104,3.51978660878819e-13,9.15068823949258e-11,84.6087565087842,1490.24213414444,42.4018870043879,983.6759877047,43,2591,30,1559
"FBN2",1046.06196901195,4.28851816046429,6.66257928728281,2.69063074257193e-11,4.01568333912989e-09,161.346931016751,2390.94424995694,43.8152832378674,1588.14141183626,82,4157,31,2517
"TNFRSF19",1197.68908383673,4.25511098457473,8.28436215853621,1.18743755434565e-16,1.64426607501149e-13,135.767539514096,2256.35657747921,103.17792504401,2295.45429330962,69,3923,73,3638
"ENSSSCG00000047637",443.637044914146,4.21430585974587,7.12909125833142,1.01033734376236e-12,2.24109507316388e-10,59.0293650061285,804.075068905412,32.5081133700307,878.935632375014,30,1398,23,1393
"NREP",34691.0642485543,4.14588405751957,6.18395302928152,6.25159760730369e-10,6.27183099375056e-08,6074.12165913062,43954.3782838487,1346.96661050605,87388.7904407319,3087,76421,953,138500
"BMP4",3034.92547362183,4.12320086427007,6.78649462295934,1.14890784271562e-11,1.95621787473087e-09,482.073147550049,3871.98380820546,178.087925418429,7607.55701331339,245,6732,126,12057
"ENC1",6780.31904535292,4.10796023374454,8.01099845127266,1.13780882195381e-15,1.05807468066151e-12,920.858094095605,14917.9506882687,566.771889625318,10715.695509422,468,25937,401,16983
"ROR2",242.954124528884,4.10700555021282,6.43122685527774,1.26578079778195e-10,1.57752825406042e-08,29.5146825030643,504.991352288235,24.0277359691531,413.282727355086,15,878,17,655
"DPT",5450.59818410005,4.09263541351164,6.48188184285872,9.05855714547867e-11,1.17121815328012e-08,954.308067599078,8029.24746918423,254.411322026327,12564.4258775906,485,13960,180,19913
"PLA2R1",863.806671156694,4.0720893579931,7.084215136959,1.39834531121469e-12,2.93992982039554e-10,135.767539514096,1594.34627396696,59.362641806143,1665.75022933958,69,2772,42,2640
"ENSSSCG00000032084",100.444587020583,4.01345992546722,1.67114802607702,0.0946924432113906,0.193171944985235,23.6117460024514,101.803495848539,0,276.36310623134,12,177,0,438
"SYT9",242.508749015176,3.98210157941598,6.3366158367254,2.34866619557512e-10,2.77005128178611e-08,29.5146825030643,463.004599763131,28.2679246695919,449.247789124918,15,805,20,712
"LUM",32892.5205991037,3.96158561434322,6.67848966919503,2.41417240518508e-11,3.69429496282056e-09,5672.72197708895,40621.3203265477,2264.26076603431,83011.7793267437,2883,70626,1602,131563
"TPBG",313.012475460258,3.95674747559466,6.33281440254836,2.40729075574976e-10,2.8254114510931e-08,51.1587830053114,579.187120449035,25.4411322026327,596.262866184055,26,1007,18,945
"ASPN",4629.0074031335,3.94759170585475,6.43419666878036,1.24128054912159e-10,1.55500938428299e-08,850.02285608825,6164.57552827483,278.43905799548,11222.9921701754,432,10718,197,17787
"ADAMTS2",4093.83181638131,3.94304338461075,6.28518715797784,3.27458952028831e-10,3.71704344702022e-08,794.92878208253,8604.40846267881,206.355850088021,6769.6341706759,404,14960,146,10729
"ENSSSCG00000011355",2333.15315706353,3.93553367465386,7.50779764255327,6.01303561331821e-14,2.07690250084011e-11,344.33796253575,5304.13468200695,228.970189823694,3455.16979388771,175,9222,162,5476
"SLC35D3",112.510635402933,3.88819639890538,1.71414972139173,0.0865012321226118,0.182243533483837,0,276.652437870889,28.2679246695919,145.122179071251,0,481,20,230
"TMEM59L",203.69670446833,3.88428221668335,5.02269193195471,5.09522373105671e-07,1.91589921258925e-05,41.3205555042899,533.749401962963,11.3071698678368,228.409690538231,21,928,8,362
"ITIH5",13060.3523665209,3.87271444346562,7.07716898172991,1.47129087773211e-12,3.0666267967075e-10,2247.05116123329,30069.9919008897,1092.55528847973,18831.8111154807,1142,52281,773,29846
"TMEM35A",74.771573353981,3.85122519368139,4.0967897700536,4.18919018830134e-05,0.000528909871398171,15.7411640016343,101.803495848539,4.24018870043879,177.301444865312,8,177,3,281
"ADAMTS17",947.065303132371,3.83715110245321,5.49836650301108,3.83325574698665e-08,2.288406356806e-06,212.505714022063,1815.20809546887,36.7483020704695,1723.79910096808,108,3156,26,2732
"C1QTNF7",1732.31208286088,3.83673352696929,5.71277585304595,1.11148038129584e-08,8.11884370361657e-07,369.917354038405,2274.18656827754,84.8037740087757,4200.34063511879,188,3954,60,6657
"CRLF1",94.6846395143994,3.81858675500659,4.32770148313425,1.50673491954371e-05,0.000249730267728992,21.6441005022471,180.600551957296,4.24018870043879,172.253716897616,11,314,3,273
"ANGPT4",2234.34785989369,3.80385734828709,5.991797056924,2.0753481304422e-09,1.83801344680701e-07,464.364338048211,5353.02336645399,134.272642180562,2985.73109289201,236,9307,95,4732
"GLI1",260.212320146702,3.80355164914276,5.91965974625439,3.22608350804155e-09,2.72728136564436e-07,23.6117460024514,542.951977858876,45.228679471347,429.056877254135,12,944,32,680
"NOVA1",292.161951137255,3.7957744580991,6.33170293954143,2.42469978202219e-10,2.83209619950399e-08,37.3852645038814,559.631646670219,40.9884907709083,530.642402604011,19,973,29,841
"TP53I3",73.3090768227304,3.76267784663809,4.02119294368357,5.79041513377253e-05,0.000674376961003623,11.8058730012257,74.1957681607999,8.48037740087757,198.754288728018,6,129,6,315
"AP3B2",78.4173645193546,3.74732301982331,3.89094228805549,9.98556833590026e-05,0.00101526943324389,19.6764550020428,107.555105783485,2.82679246695919,183.611104824931,10,187,2,291
"FAM110B",98.0833798783641,3.72723634247241,4.6261630334504,3.72502120340159e-06,8.76104695095756e-05,11.8058730012257,146.666053341116,15.5473585682755,218.314234602839,6,255,11,346
"TGFBI",15452.5576334996,3.71771779586458,6.5303022526238,6.56370961499453e-11,8.82922209136322e-09,3000.65938781153,37461.3858282885,1366.75415777477,19981.4311601234,1525,65132,967,31668
"CRHR2",92.7174293611426,3.71084425913102,4.23226264890245,2.31352009669795e-05,0.00033798361871881,5.90293650061285,227.188592430356,19.7875472687143,117.990641244887,3,395,14,187
"PCSK9",247.472911336063,3.69494815807002,5.24623838013061,1.55236022395747e-07,7.2317852591221e-06,17.7088095018386,592.41582329941,52.295660638745,327.471351904259,9,1030,37,519
"SULF1",4582.05776493802,3.69471538187003,7.10449156192797,1.20766298934005e-12,2.63052934741114e-10,840.184628587229,9652.92695381941,474.901134449144,7360.2183428963,427,16783,336,11665
"LAMC3",266.411369410737,3.6738771292823,4.6232809710357,3.77717545041629e-06,8.84927791086871e-05,9.83822750102142,305.410487545618,66.429622973541,683.967139622768,5,531,47,1084
